案卷类型,案卷来源,市派单时间,案卷标题,问题详细描述,回复内容,问题分类,问题分类1,问题分类2,问题分类3,行业分类,行业名称(1),行业名称(2),行业名称(3),涉及问题(1),涉及问题(2),处理单位,企业名称,投诉/举报/投诉+举报/咨询建议
诉求,12315,2023-09-22 15:29:51,协调换货问题,市民反映，自己在地址：丰台区花香草桥东路一号店，草桥的商品折扣商场线下耐克专卖店，购买两双鞋三双袜子，自己回家给孩子试袜子，该袜子孩子穿着小，自己想要对方给自己更换，对方不给自己换，对方称自己打开试了，对方以此理由驳回，订单号：s0de800005f8f9b，来电反映协调换货问题,2023年9月22日16时，丰台区市场监督管理局玉泉营市场所执法人员联系诉求人，告知诉求人反映的问题我局已受理。之后联络被诉方协调处理，经了解商品影响二次销售无法退换，我所执法人员已依法履职。2023年9月25日9时30分，丰台区市场监督管理局玉泉营市场所执法人员联系来电人反馈处理结果，来电人对处理结果表示知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+服装、鞋帽,商品类,服装、鞋帽,,其他市场管理类,售后服务,玉泉营所,北京市上品商业发展有限责任公司草桥分公司,投诉
诉求,12315,2022-05-05 19:39:26,希望协调退费“12315热线来电”,市民反映，物美超市(云岗店)，地址在丰台区云岗，通过多点购买的商品，单号是548571135324，548570779324，金额是255.92元钱，112.3元钱，通过新闻了解到该店涉疫，因此市民申请退货退费，被告知店没有问题，最后只退了市民250元钱，市民不认可，来电希望协调退费。注：请及时向来电人反馈办理情况。,"针对反映问题，云岗市场所执法人员于2022年5月6日10:38电话联系投诉人了解情况，因物美云岗店有新冠确诊病例到访，投诉人希望将自己购买的商品退货。经调解，商家同意给投诉人办理退货。5月6日15:24执法人员联系投诉人，投诉人表示商家已取走商品，5月6日16:36，投诉人致电我所表示已收到退款。
",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+日用百货,商品类,日用百货,,合同纠纷（消费）类,违反合同约定、不履行合同,云岗所,北京物美超市有限公司云岗店,投诉
诉求,12315,2023-07-27 14:43:41,协调退款问题,1、购买渠道：电商平台名称北京思瑜盛大科技有限公司（爱买不买平台）2、是否进行过消费纠纷调解：是3、平台或企业注册地址：丰台区新发地潘家庙56号5栋B-5-654、消费内容：购买的购物券5、订单号：71425406、其具体诉求内容：自己购买的卷用不完，申请退款，平台不给退款，要求及时进行退款，来电反映协调退款问题注：请及时向来电人反馈办理进展。,1、购买渠道：电商平台名称北京思瑜盛大科技有限公司（爱买不买平台）2、是否进行过消费纠纷调解：是3、平台或企业注册地址：丰台区新发地潘家庙56号5栋B-5-654、消费内容：购买的购物券5、订单号：71425406、其具体诉求内容：自己购买的卷用不完，申请退款，平台不给退款，要求及时进行退款，来电反映协调退款问题。经执法人员联系被诉方，协调解决此事，被诉方与投诉人协商一致，2023年8月1日11时15分，丰台市场监管局花乡所执法人员电话联系投诉人，告知处理结果，投诉人表示知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+日用百货,商品类,日用百货,,合同纠纷（消费）类,违反合同约定、不履行合同,花乡所,北京思瑜盛大科技有限公司,投诉
诉求,12345,2022-09-08 16:24:46,投诉商家,市民反映，自己在抖音上买的浓缩饮料，拿卡桑浓缩饮料，宣传说是饮料可以焕新细胞，在以自然之力治愈人体健康，一袋搞定抗氧化，抗糖化，抗衰老，美白，增强抵抗力，自己买回来以后没有此效果，自己觉得虚假宣传，违反了广告法第十七条和第二十八条，食品安全法第七十三条，网络食品安全违法行为查处办法第十七条，单号：4964285434525912537，自己要求该公司根据消费权益保护法退一赔三，地址：丰台区南四环西路186号4区2号楼9层21室，名称：北京美婴臣国际贸易有限公司，来电反映投诉商家注：请及时向来电人反馈办理情况。,,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+食品,商品类,食品,,广告类,虚假宣传,科技园区所,,
诉求,133,2022-11-30 10:22:01,协调退款,市民反映，今年2022年4月19日的时候在北京欢乐水魔方公众号上购买的夏季的卡，当时购买的时候说随时可以退款，但是夏天因为一些原因没有过去游玩。当时说只要不开通就可以随时退款，自己没有开通，在公众号申请退款已经申请好几个月了，一直显示退款中，但是一直得不到处理。订单号：1516328044350930944。丰台区小屯路11号北京欢乐水魔方。来电反映协调退款问题注：请及时向来电人反馈办理情况,"丰台区市场监督管理局卢沟桥街道市场所执法人员于2022年11月30日14时20分电话联系诉求人核实其诉求并告知受理,市民反映，今年2022年4月19日的时候在北京欢乐水魔方公众号上购买的夏季的卡，当时购买的时候说随时可以退款，但是夏天因为一些原因没有过去游玩。当时说只要不开通就可以随时退款，自己没有开通，在公众号申请退款已经申请好几个月了，一直显示退款中，但是一直得不到处理。订单号：1516328044350930944。丰台区小屯路11号北京欢乐水魔方。来电反映协调退款问题注：请及时向来电人反馈办理情况。针对其反映的退费问题，经我所执法人员调解，被诉方同意为诉求人退还费用，诉求问题得到解决。我所于2022年12月1日9时40分电话再次联系投诉人，告知办理结果，核实退款情况。消费者对调解结果表示满意与认可。",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,文化娱乐服务+休闲娱乐,文化娱乐服务,休闲娱乐,,预付费卡消费,预付费卡退费,卢沟桥所,北京华旅欢乐水魔方嬉水乐园有限公司,投诉
诉求,12345,2023-07-01 11:01:17,投诉翠海美苑生活超市虚假宣传“12315热线来电”,同热线-230624-036677号，1、购买渠道：通过美团在翠海美苑生活超市购买商品2、是否进行过消费纠纷调解：没有消费纠纷调解3、平台或企业注册地址：丰台区翠海明苑27号1134、消费内容：购买3袋槟郎5、订单号：8006044337365217626、其具体诉求内容：市民购买的是口味王系列槟郎40克每袋，但市民实际收到为30克每袋，市民认为存在虚假宣传，市民按照消协第55条退一赔三不足500按500赔偿，市民花费123.1元来电反映投诉翠海美苑生活超市虚假宣传========此次来电反映同一问题，并询问处理进展。市民称12345打电话市民没有接到。来电反映投诉翠海美苑生活超市虚假宣传。,南苑街道市场所执法人员尹更云、李宁接到来电人诉求后，联系来电人告知已受理并了解相关情况。现场检查，未发现被诉30克口味王系列槟郎，经核实，商家已赔偿来电人相关损失。2023年7月1日14时00分联系来电人，其对处理结果表示认可。（同热线-230624-036677）,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+食品,商品类,食品,,其他市场管理类,缺斤短两,南苑所,北京翠海美苑商贸中心,投诉
诉求,12315,2022-05-30 17:47:38,协调退费“12315热线来电”,市民反映，自己在2022年5月28日通过丰台区新发地丰台南路路南翠鲜缘购买了一些麒麟瓜，但实际送来的却并不是这种瓜，故申请退费，对方却拒绝办理退费，自己认为很不合理，订单号：5000000188935401，来电反映协调退费的问题。注：请及时向来电人反馈办理情况。,,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+食品,商品类,食品,,合同纠纷（消费）类,合同欺诈,花乡所,,
诉求,166,2023-09-25 22:04:59,协调退款问题,市民反映，自己在NICK的小铺（小程序）买了一些东西，花了640元，支付宝订单号：2023092522001449101451025540，当时宣传说满600元可以抽奖，抽完奖想拿到礼品还需要交钱，觉得不合理，而且自己买的东西也比官网贵，现在不想要了，要求直接退款，来电反映协调退款问题。,针对反映问题，大红门市场所执法人员于2023年9月26日11:12分联系投诉人，核实其关于退费诉求，告知受理。经大红门市场所执法人员于2023年9月26日14:51分调解，商家未在地址经营，无法联系，消费调解终止。执法人员已于2023年9月28日14:26分与投诉人电话核实情况，投诉人已悉知。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+日用百货,商品类,日用百货,,价格欺诈类,不合理收费,大红门所,NICK的小铺,投诉
诉求,12315,2023-06-26 09:51:39,协调尽快发货或者退款问题“12315热线来电”,市民反映，公司名称：北京瑞达文化发展有限公司，公司注册地址：丰台区宋家庄路苇子坑149号北场8栋3层8503，自己在这个公司购买了商品，但是一直都没有给自己发货，来电反映协调尽快发货或者退款问题。注：请及时向来电人反馈办理情况。,2023年6月26日11:45分丰台区市场监督管理局新村市场所执法人员电话联系诉求人核实情况，执法人员6月26日联系被诉方，组织双方进行调解。经调解，被诉方同意私下与诉求人协商解决此事。6月30日15点30分，执法人员电话联系诉求人，诉求人表示已与被诉方私下协商解决，无需执法人员参与，终止调解。诉求人已知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+日用百货,商品类,日用百货,,其他市场管理类,商品发货慢,新村所,北京瑞达文化发展有限公司,投诉
诉求,12315,2021-12-24 22:43:13,投诉商家接单后不进行配送问题“12315热线来电”,市民反映，自己通过饿了么订餐，订单编号：8434938846730646015，商家名称：小贤家榴莲蛋糕（丰科万达店），商家地址：丰台区丰科路6号院7号楼地下一层1016A。商家接单后，不找骑手进行配送，也不主动联系自己，自己已经等了三个多小时了。向饿了么平台反映，让自己取消订单。自己对商家非常不满。来电反映投诉商家接单后不进行配送问题。注：请及时向来电人反馈办理情况。,"针对来电人反映的问题，丰台区市场监督管理局科技园区市场所执法人员于2021-12-25 10:02联系来电人13293150818，核实具体情况。经调解，被诉方已为来电人配送商品及补偿来电人30元，双方协商达成一致意见，我所执法人员于2021-12-25 1 6:54再次致电来电人13293150818，来电人对我所工作表示满意。
",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,餐饮服务类+饮品店、咖啡店、酒吧、甜品店等,餐饮服务类,饮品店、咖啡店、酒吧、甜品店等,,合同纠纷（消费）类,违反合同约定、不履行合同,科技园区所,乐贤（北京）餐饮有限公司,投诉
